# Ghost Glove Flex Calibration — 50 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
22.567,4784,6569,3840,6266
22.597,4710,6633,4059,6367
22.628,4562,6546,3856,6346
22.658,4698,6654,3722,6253
22.687,4724,6714,3886,6335
22.748,4600,6617,3847,6430
22.777,4684,6626,3605,6327
22.808,4840,6663,3815,6323
22.837,4694,6637,3956,6425
22.867,4680,6520,3786,6349
22.898,4788,6336,3813,6274
22.928,4703,6610,4055,6357
22.957,4522,6448,3851,6344
23.026,4708,6575,3684,6281
23.048,4694,6529,3857,6347
23.077,4615,6405,3864,6422
23.121,4538,6307,3824,6365
23.140,4680,6564,3603,6306
23.170,4831,6636,3826,6333
23.229,4662,6495,3854,6423
23.257,4664,6450,3751,6330
23.347,4811,6663,3801,6299
23.348,4713,6531,4045,6382
23.348,4545,6506,3832,6342
23.378,4733,6556,3779,6251
23.408,4719,6791,3926,6343
23.467,4573,6553,3857,6383
23.497,4682,6533,3623,6325
23.528,4845,6678,3857,6327
23.557,4675,6660,3915,6426
23.627,4664,6590,3778,6351
23.628,4802,6471,3844,6313
23.648,4707,6482,4072,6373
23.679,4556,6381,3873,6351
23.738,4699,6666,3758,6268
23.767,4736,6400,3912,6331
23.808,4596,6194,3855,6410
23.827,4662,6413,3617,6317
23.857,4835,6610,3841,6334
23.888,4691,6523,3955,6415
23.917,4678,6441,3798,6342
23.978,4786,6479,3827,6270
24.007,4698,6699,4090,6361
24.037,4555,6570,3869,6347
24.068,4712,6533,3712,6277
24.097,4716,6732,3907,6333
24.127,4590,6567,3904,6414
24.157,4691,6559,3629,6316
24.187,4849,6611,3822,6332
24.248,4701,6525,4013,6398
24.277,4672,6483,3817,6351
24.308,4782,6325,3823,6269
24.337,4727,6575,4050,6352
24.367,4533,6451,3886,6338
24.397,4695,6728,3680,6282
24.427,4698,6828,3905,6346
24.487,4625,6640,3862,6405
24.518,4692,6459,3659,6338
24.549,4863,6680,3836,6336
24.577,4680,6403,4063,6410
24.607,4632,6188,3814,6351
24.637,4755,6364,3813,6284
24.667,4711,6795,4026,6349
24.697,4523,6687,3863,6335
24.757,4693,6643,3645,6300
24.788,4771,6607,3866,6350
24.833,4645,6501,3885,6430
24.847,4670,6349,3685,6343
24.877,4873,6506,3835,6344
24.968,4711,6573,4039,6396
24.970,4612,6642,3825,6358
24.970,4747,6736,3820,6273
25.036,4695,6852,4003,6364
25.087,4529,6712,3892,6357
25.088,4684,6660,3668,6308
25.118,4706,6639,3720,6263
25.148,4704,6816,3912,6346
25.177,4604,6720,3880,6422
25.237,4678,6564,3619,6331
25.267,4859,6659,3827,6352
25.297,4687,6621,4007,6405
25.327,4664,6430,3812,6335
25.363,4776,6575,3835,6276
25.389,4699,6556,4056,6377
25.434,4541,6191,3873,6360
25.478,4693,6546,3702,6287
25.507,4714,6633,3877,6334
25.537,4627,6613,3893,6418
25.567,4705,6566,3657,6337
25.599,4850,6614,3845,6344
25.627,4685,6781,4035,6414
25.657,4656,6513,3825,6337
25.688,4764,6745,3808,6277
25.749,4683,6829,4038,6365
25.779,4533,6661,3889,6358
25.807,4691,6733,3650,6302
25.837,4753,6896,3898,6348
25.879,4643,6748,3885,6426
25.897,4676,6576,3681,6352
25.927,4855,6744,3849,6330
25.988,4678,6649,4047,6407
26.030,4605,6583,3838,6371
26.051,4746,6717,3818,6275
26.078,4721,6825,4000,6360
26.107,4510,6722,3867,6375
26.137,4682,6678,3673,6300
26.198,4793,6792,3880,6353
26.198,4651,6602,3878,6436
26.257,4702,6599,3702,6346
26.287,4863,6663,3821,6347
26.318,4709,6662,4049,6382
26.348,4602,6513,3842,6365
26.377,4742,6508,3822,6276
26.407,4729,6700,3966,6335
26.437,4539,6665,3897,6366
26.497,4694,6724,3632,6313
26.527,4838,6847,3848,6352
26.557,4665,6757,3934,6440
26.588,4691,6602,3748,6349
26.625,4845,6775,3821,6329
26.647,4719,6610,4060,6390
26.677,4557,6666,3833,6356
26.707,4722,6741,3834,6271
26.767,4725,6754,3966,6363
26.797,4556,6627,3822,6390
26.834,4720,6632,3645,6322
26.857,4848,6715,3833,6342
26.887,4667,6661,3894,6432
26.919,4662,6630,3774,6333
26.950,4818,6789,3816,6304
27.010,4700,6799,4057,6384
27.040,4574,6575,3846,6363
27.069,4693,6716,3707,6291
27.097,4698,6837,3937,6338
27.127,4708,6755,4009,6357
27.157,4515,6736,3869,6343
27.226,4695,6600,3665,6308
27.307,4774,6723,3875,6350
27.308,4651,6744,3892,6428
27.308,4692,6363,3718,6356
27.338,4853,6779,3845,6337
27.368,4711,6765,4033,6388
27.398,4588,6500,3819,6341
27.427,4726,6525,3827,6268
27.487,4693,6863,3985,6360
27.518,4545,6726,3880,6376
27.547,4694,6358,3630,6329
27.577,4821,6493,3859,6367
27.607,4664,6609,3884,6428
27.637,4692,6421,3744,6343
27.667,4832,6544,3850,6331
27.727,4687,6531,4071,6382
27.758,4532,6226,3851,6342
27.788,4717,6522,3795,6281
27.830,4726,6613,3954,6365
27.852,4554,6455,3880,6399
27.877,4679,6678,3646,6321
27.907,4834,6584,3867,6353
27.948,4670,6526,3902,6434
27.998,4696,6413,3762,6363
28.029,4819,6553,3856,6304
28.057,4718,6542,4088,6380
28.088,4570,6559,3875,6373
28.118,4706,6482,3759,6276
28.148,4692,6697,3925,6356
28.177,4584,6525,3865,6410
28.237,4664,6505,3615,6338
28.267,4828,6528,3851,6351
28.297,4671,6526,4010,6428
28.327,4692,6228,3798,6379
28.357,4789,6413,3824,6291
28.430,4689,6481,4080,6379
28.430,4534,6391,3868,6373
28.448,4698,6581,3696,6280
28.507,4731,6688,3905,6364
28.537,4601,6668,3893,6427
28.567,4682,6518,3660,6338
28.598,4860,6468,3836,6346
28.628,4690,6682,4021,6428
28.658,4673,6480,3799,6368
28.687,4764,6616,3825,6290
28.749,4695,6752,4060,6376
28.777,4530,6521,3846,6352
28.807,4704,6643,3637,6299
28.837,4736,6670,3875,6341
28.867,4637,6530,3882,6416
28.897,4674,6588,3668,6354
28.927,4838,6670,3820,6372
28.957,4695,6549,4055,6423
29.024,4622,6413,3810,6355
29.047,4750,6571,3799,6271
29.077,4703,6653,4000,6365
29.107,4531,6537,3849,6363
29.137,4556,6518,3870,6345
29.167,4700,6687,3749,6270
29.229,4717,6806,3926,6364
