# Ghost Glove Flex Calibration — Fist
t_s,flex_ring,flex_middle,flex_index,flex_thumb
19.550,4594,6437,3502,5228
19.609,4571,6365,3413,5187
19.609,4685,6428,3472,5169
19.640,4606,6451,3406,5195
19.699,4608,6446,3416,5210
19.729,4573,6371,3381,5186
19.759,4640,6427,3371,5140
19.789,4617,6469,3488,5185
19.830,4497,6423,3411,5195
19.848,4586,6413,3296,5163
19.879,4630,6486,3391,5179
19.938,4569,6432,3528,5227
19.969,4578,6377,3434,5188
19.999,4703,6437,3492,5183
20.031,4608,6443,3598,5202
20.058,4545,6373,3489,5188
20.089,4612,6423,3468,5136
20.121,4622,6492,3552,5178
20.180,4513,6424,3501,5208
20.209,4589,6412,3395,5173
20.240,4674,6450,3490,5174
20.270,4603,6435,3515,5229
20.301,4576,6364,3433,5186
20.330,4676,6420,3478,5166
20.360,4608,6440,3600,5187
20.431,4505,6386,3497,5193
20.451,4598,6410,3472,5153
20.478,4624,6494,3526,5179
20.509,4551,6434,3513,5213
20.538,4586,6406,3382,5177
20.569,4690,6445,3491,5173
20.599,4599,6432,3537,5221
20.629,4573,6353,3464,5188
20.688,4641,6421,3476,5161
20.719,4611,6448,3604,5186
20.749,4498,6413,3500,5195
20.779,4596,6413,3429,5154
20.809,4618,6494,3515,5181
20.839,4563,6430,3514,5224
20.868,4580,6390,3395,5180
20.929,4698,6438,3491,5174
20.962,4608,6441,3582,5210
20.988,4567,6358,3487,5187
21.033,4616,6423,3473,5158
21.048,4612,6475,3575,5183
21.079,4502,6424,3502,5196
21.109,4587,6408,3398,5168
21.139,4651,6480,3500,5178
21.199,4577,6433,3522,5248
21.230,4577,6371,3433,5189
21.260,4683,6425,3480,5170
21.290,4614,6444,3597,5202
21.320,4530,6383,3491,5192
21.350,4601,6419,3469,5140
21.380,4619,6487,3553,5181
21.410,4516,6428,3507,5200
21.477,4589,6409,3397,5175
21.501,4682,6463,3491,5178
21.530,4601,6439,3523,5251
21.559,4572,6361,3443,5189
21.589,4654,6421,3480,5164
21.629,4608,6441,3604,5192
21.648,4502,6392,3501,5194
21.739,4556,6379,3486,5191
21.739,4611,6418,3471,5142
21.770,4622,6492,3557,5179
21.801,4501,6423,3508,5193
21.830,4587,6405,3393,5167
21.859,4660,6470,3493,5180
21.919,4585,6430,3524,5229
21.949,4574,6355,3445,5192
21.997,4685,6426,3487,5171
22.008,4618,6440,3610,5198
22.038,4515,6385,3502,5192
22.069,4602,6414,3475,5140
22.099,4623,6484,3547,5181
22.129,4526,6426,3514,5206
22.191,4590,6406,3385,5176
22.229,4699,6444,3494,5176
22.250,4605,6429,3537,5223
22.278,4573,6313,3461,5190
22.309,4651,6367,3480,5157
22.339,4610,6399,3607,5192
22.369,4507,6353,3501,5195
22.432,4595,6364,3447,5149
22.459,4626,6448,3534,5182
22.489,4562,6387,3518,5230
22.518,4600,6355,3386,5181
22.548,4697,6393,3489,5173
22.609,4608,6382,3557,5217
22.609,4576,6304,3472,5187
22.638,4633,6368,3471,5140
22.699,4617,6398,3590,5188
22.789,4502,6355,3498,5197
22.789,4586,6334,3397,5164
22.789,4630,6449,3507,5181
22.830,4572,6384,3520,5226
22.849,4579,6334,3413,5187
22.879,4698,6408,3488,5176
22.940,4609,6407,3601,5205
22.969,4556,6344,3499,5192
23.000,4616,6365,3468,5141
23.036,4627,6427,3548,5205
23.058,4504,6365,3498,5196
23.089,4590,6349,3395,5167
23.119,4663,6416,3496,5178
23.179,4591,6373,3520,5232
23.209,4576,6302,3439,5196
23.239,4679,6357,3483,5163
23.269,4615,6388,3602,5195
23.299,4520,6337,3500,5193
23.329,4604,6381,3472,5137
23.359,4627,6455,3545,5181
23.389,4534,6388,3510,5205
23.448,4591,6359,3389,5175
23.479,4694,6419,3501,5175
23.509,4608,6405,3534,5226
23.555,4582,6331,3457,5195
23.568,4655,6385,3476,5161
23.599,4610,6402,3609,5190
23.634,4503,6358,3500,5196
23.658,4597,6373,3456,5147
23.720,4606,6372,3469,5143
23.780,4628,6437,3554,5182
23.780,4505,6373,3503,5195
23.811,4590,6356,3394,5169
23.840,4667,6417,3496,5179
23.870,4591,6379,3521,5231
23.932,4575,6300,3440,5204
23.960,4683,6378,3491,5160
23.990,4606,6385,3608,5193
24.050,4525,6336,3503,5193
24.050,4604,6361,3473,5141
24.080,4625,6434,3546,5181
24.110,4538,6373,3510,5206
24.140,4591,6351,3386,5179
24.200,4696,6377,3504,5179
24.232,4603,6318,3526,5229
24.261,4579,6193,3458,5191
24.290,4651,6256,3477,5160
24.320,4610,6278,3606,5193
24.350,4506,6234,3500,5195
24.380,4588,6242,3456,5145
24.440,4629,6328,3524,5174
24.471,4552,6272,3512,5228
24.501,4585,6218,3404,5188
24.531,4701,6281,3491,5176
24.560,4605,6285,3553,5220
24.591,4579,6209,3473,5190
24.629,4641,6261,3473,5147
24.648,4617,6297,3599,5187
24.709,4503,6204,3508,5198
24.739,4588,6247,3421,5161
24.768,4633,6293,3514,5182
24.799,4569,6306,3521,5231
24.829,4587,6194,3400,5186
24.860,4697,6343,3491,5177
24.890,4608,6312,3582,5212
24.950,4569,6241,3480,5186
24.980,4622,6309,3480,5142
25.010,4615,6349,3389,5181
25.039,4510,6285,3427,5205
25.072,4594,6264,3344,5168
25.108,4655,6369,3382,5182
25.129,4584,6293,3507,5232
25.159,4581,6262,3341,5190
25.230,4694,6325,3372,5176
25.248,4610,6333,3585,5203
25.308,4538,6280,3355,5196
25.339,4611,6314,3351,5139
25.339,4625,6369,3433,5183
25.369,4517,6327,3415,5198
25.399,4589,6284,3361,5172
25.459,4678,6321,3467,5189
25.489,4591,6241,3411,5232
25.519,4569,6097,3416,5192
25.549,4663,6296,3234,5167
25.579,4607,6273,3476,5198
25.630,4506,6081,3320,5196
25.639,4604,6226,3259,5144
25.668,4627,6288,3348,5185
25.729,4619,6413,3373,5188
25.759,4515,6358,3520,5199
25.789,4587,6347,3408,5168
25.830,4640,6417,3453,5182
25.848,4579,6369,3444,5232
25.880,4577,6207,3348,5192
25.940,4695,6406,3428,5186
25.970,4608,6413,3494,5206
26.005,4550,6356,3428,5197
26.030,4607,6387,3475,5140
26.060,4628,6452,3567,5184
26.091,4514,6376,3522,5198
26.121,4594,6357,3413,5172
26.179,4676,6219,3504,5182
26.209,4595,6248,3413,5230
26.238,4579,6184,3456,5190
26.269,4675,6240,3388,5171
26.299,4611,6255,3512,5197
26.358,4513,6220,3439,5195
26.390,4603,6244,3429,5144
26.390,4628,6324,3497,5185
26.450,4539,6262,3461,5210
26.480,4593,6343,3334,5179
26.541,4702,6363,3431,5176
26.541,4594,6171,3478,5232
26.571,4577,6099,3402,5190
26.601,4652,6363,3428,5158
26.632,4613,6332,3552,5193
26.690,4506,6295,3445,5197
26.721,4597,6304,3399,5158
26.750,4629,6395,3472,5185
26.780,4568,6302,3480,5230
26.840,4588,6194,3340,5185
26.840,4695,6233,3445,5178
26.870,4615,6396,3506,5220
26.901,4580,6301,3421,5190
26.961,4644,6151,3430,5148
27.049,4615,6282,3538,5188
27.049,4505,6308,3453,5208
27.050,4589,6286,3377,5162
27.080,4621,6362,3461,5184
27.110,4573,6324,3472,5231
27.140,4586,6256,3356,5190
27.201,4702,6291,3439,5177
27.232,4611,6301,3537,5205
27.260,4574,6239,3439,5193
27.290,4626,6260,3419,5147
27.320,4619,6249,3522,5184
27.351,4502,6225,3452,5200
27.380,4592,6251,3353,5167
27.411,4647,6336,3453,5184
27.471,4584,6225,3467,5230
27.501,4575,6132,3385,5199
27.531,4695,6197,3430,5175
27.560,4612,6215,3540,5208
27.590,4536,6138,3441,5196
27.632,4610,6214,3423,5145
27.650,4624,6339,3501,5185
